Razao Social,Fundo,Codigo
ITAU TEMPUS FUNDO DE INVESTIMENTO IMOBILIARIO,FII ITAU TEM,TMPS
ITAU TOTAL RETURN FDO DE INV IMOB,FII ITRI,ITRI
JACARANDA 02 FUNDO DE INVESTIMENTO IMOBILIARIO FII,FII JCDB 02,JCDB
JACARANDA I FUNDO DE INVESTIMENTO IMOBILIARIO -FII,FII JCDA I,JCDA
JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII,FII JASC REN,JASC
JBFO FOF FDO INV. IMOB.,FII JBFO FOF,JBFO
JFDCAM FUNDO DE INVESTIMENTO IMOBILIARIO FII,FII JFDCAM,VJFD
JFL LIVING FDO. INV. IMOB.,FII JFL LIV,JFLL
JGP DESENVOLVIMENTO I FDO INV IMOB RESP LIMIT,FII RDLS,RDLS
JHSF CAPITAL CIDADE JARDIM - FDO DE INV IMOB,FII JHSF CJ,JCCJ
JPP CAPITAL FDO INV IMOB - FII,FII JPP CAPI,JPPC
JPP CAPITAL RECEBIVEIS IMOB. FDO. INVEST. IMOB.,FII JPPA CRI,JPPA
JS ATIVOS FINANCEIROS FDO DE INV IMOBILIARIO,FII JS A FIN,JSAF
JS REAL ESTATE MULTIGESTÃO - FII,FII JS REAL,JSRE
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,FII JT PREV,JTPR
KILIMA FIC FDO. IMOB. SUNO 30,FII KILIMA,KISU
KILIMA VOLKANO RECEBIVEIS IMOB FDO DE INV IMOB,FII KIVO,KIVO
KINEA AQUISIÇÕES RESIDENCIAIS FII RESP LIM,FII KRES,KRES
KINEA CREDITAS FDO DE INV IMOBILIARIO - FII,FII KINEA CR,KCRE
KINEA DESENVOLVIMENTO LOGISTICO FDO DE INV IMOB,FII KINEA DL,KLOG
KINEA HEDGE FUND FDO DE INV IMOB,FII KINEA HF,KNHF
KINEA HIGH YIELD CRI FDO INV IMOB - FII,FII KINEA HY,KNHY
KINEA II REAL ESTATE EQUITY FDO INV IMOB,FII KII REAL,KNRE
KINEA INDICES DE PREÇOS FDO INV IMOB - FII,FII KINEA IP,KNIP
KINEA OPOR IMOB I FUNDO DE INVEST IMB LTDA,FII KOPI,KOPI
KINEA OPORTUNIDADES REAL ESTATE FDO DE INV IMOB,FII KORE,KORE
KINEA PREMIUM PROPERTIES FDO INV IMOB,FII KINEA PR,KNPR
KINEA RENDA IMOBILIARIA FDO INV IMOB - FII,FII KINEA,KNRI
KINEA RENDIMENTOS IMOBILIARIOS FDO INV IMOB - FII,FII KINEA RI,KNCR
KINEA SECURITIES FDO. DE INV. IMOB. - FII,FII KINEA SC,KNSC
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,FII KINEA UN,KNUQ
LAGO DA PEDRA - FUNDO DE INVESTIMENTO IMOBILIARIO,FII LAGO PDR,LPLP
LAV SLDZ DESENVOLVIMENTO IMOB FDO INV IMOB,FII LAV SLDZ,SLDZ
LCP SPECIAL OPPORTUNITIES I FDO INV IMOB RESP,FII LSOI,LSOI
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,FII LEGATUS,LASC
LESTE RIVA EQUITY PREFERENCIAL I FDO. INV. IMOB.,FII LESTE PA,LSPA
LIFE CAPITAL PARTNERS FUNDO DE INVESTIMENTO IMOB,FII LIFE,LIFE
LOFT I - FDO INV IMOB,FII LOFT I,LOFT
LOFT II FUNDO DE INVESTIMENTO IMOBILIARIO,FII LOFT II,LFTT
LOGCP INTER FDO INV IMOB,FII LGCP INT,LGCP
LUGGO FDO. INV. IMOB.,FII LUGGO,LUGG
